player_name,exp_whiff_rate,n,exp_whiff_rate_FF,exp_whiff_rate_SI,exp_whiff_rate_SL,exp_whiff_rate_CH,exp_whiff_rate_CU,exp_whiff_rate_FC,n_FF,n_SI,n_SL,n_CH,n_CU,n_FC,f_p_str,exp_HR_rate,n1,exp_HR_rate_FF,exp_HR_rate_SI,exp_HR_rate_SL,exp_HR_rate_CH,exp_HR_rate_CU,exp_HR_rate_FC,n_FF1,n_SI1,n_SL1,n_CH1,n_CU1,n_FC1
Tanner Rainey,0.3524666666666667,150,0.25,0,0.54,0,0,0,97,0,53,0,0,0,0.5540540540540541,0.033783783783783786,74,0.04,0,0.02,0,0,0,51,0,23,0,0,0
Edwin Diaz,0.3510909090909091,220,0.29,0,0.43,0,0,0,124,0,96,0,0,0,0.6,0.04,105,0.04,0,0.04,0,0,0,59,0,46,0,0,0
Josh Hader,0.35083333333333333,168,0.31,0,0.45,0,0,0,119,0,49,0,0,0,0.5256410256410257,0.03256410256410257,78,0.04,0,0.02,0,0,0,49,0,29,0,0,0
Ryan Pressly,0.3479213483146067,178,0.21,0,0.39,0,0.46,0,56,0,85,0,37,0,0.6777777777777778,0.023111111111111114,90,0.03,0,0.02,0,0.02,0,28,0,43,0,19,0
Shane Bieber,0.3462820512820513,624,0.24,0,0.49,0.44,0,0.27,200,0,69,226,0,129,0.6222910216718266,0.03130030959752322,323,0.04,0,0.03,0.02,0.02,0.04,117,0,45,18,100,43
Austin Adams,0.3448,25,0.17,0,0.36,0,0,0,2,0,23,0,0,0,0.29411764705882354,0.020588235294117647,17,0.03,0,0.02,0,0,0,1,0,16,0,0,0
Nick Burdi,0.34299999999999997,20,0.26,0,0.45,0,0.59,0,12,0,7,0,1,0,0.5,0.028000000000000004,10,0.02,0,0.04,0,0,0,6,0,4,0,0,0
Cionel Perez,0.3409259259259259,54,0.28,0,0.48,0.37,0,0,37,0,16,1,0,0,0.5,0.02483870967741935,31,0.03,0,0.01,0,0,0,23,0,8,0,0,0
Dominic Leone,0.33684210526315783,95,0.18,0.11,0.49,0,0,0.29,19,7,39,0,0,30,0.6382978723404256,0.028510638297872336,47,0.04,0.03,0.02,0,0,0.03,12,4,19,0,0,12
Angel Perdomo,0.33666666666666667,33,0.33,0,0.37,0.27,0,0,25,0,7,1,0,0,0.3333333333333333,0.03777777777777778,18,0.03,0,0.04,0.07,0,0,10,0,6,2,0,0
Jake Newberry,0.3361963190184049,163,0.16,0,0.44,0.27,0,0,58,0,101,4,0,0,0.5212765957446809,0.02723404255319149,94,0.04,0,0.02,0.02,0,0,34,0,58,2,0,0
Freddy Peralta,0.33342222222222223,225,0.32,0,0.41,0,0.37,0,171,0,8,0,46,0,0.52,0.041982758620689654,116,0.04,0,0.03,0,0.05,0,77,0,8,0,31,0
Demarcus Evans,0.3333333333333333,27,0.31,0,0.38,0,0,0,18,0,9,0,0,0,0.6428571428571429,0.047142857142857146,14,0.05,0,0.04,0,0,0,10,0,4,0,0,0
Jordan Romano,0.33039215686274515,102,0.3,0,0.35,0,0,0,40,0,62,0,0,0,0.6470588235294118,0.029999999999999995,51,0.03,0,0.03,0,0,0,21,0,30,0,0,0
Walker Buehler,0.3298561151079137,278,0.3,0.2,0.35,0.48,0,0.35,138,26,21,40,0,53,0.5850340136054422,0.025646258503401357,147,0.03,0.03,0.02,0,0.02,0.02,67,16,12,0,20,32
Tyler Glasnow,0.32703196347031965,438,0.26,0,0,0.27,0.49,0,296,0,0,15,127,0,0.6059322033898306,0.02707627118644068,236,0.03,0,0,0.06,0.02,0,143,0,0,6,87,0
