p_throws,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
R,JT Brubaker,,89,,51,56.99999999999999,56.99999999999999,3.77,3.94,11.4,3,8.3,206
R,Julian Merryweather,,,,84,,,3.98,4.5,13.3,4.3,10.9,55
R,Julio Teheran,8,48,,22,15,8,4.65,5.13,8.5,3.7,10.7,148
R,Junior Guerra,51,75,,67,37,,4.09,4.8,11,3.5,12.6,100
R,Justin Dunn,,20,,6,,71,4.84,5.88,10,4.7,15.2,197
R,Kendall Graveman,,,,,66,,3.91,4.32,9.2,2.4,10.4,77
R,Kenley Jansen,,,78,,7.000000000000001,,3.86,4.1,11.2,3.1,8.8,97
R,Kenta Maeda,84,,,12,37,13,3.73,3.39,12.4,3.3,4,268
R,Kevin Gausman,93,,,49,,28.000000000000004,3.39,3.36,13.8,3.2,6.5,246
R,Kevin Ginkel,,,,49,,31,3.98,4.85,12.6,4,13.9,77
R,Keynan Middleton,,,,88,,,3.53,4.09,14.5,3.8,11.3,53
R,Kyle Cody,,,,4,37,47,4.21,5.11,11.7,4.1,14.1,91
R,Kyle Finnegan,,,,,63,24,4.36,4.56,9.8,3.6,8.4,103
R,Kyle Funkhouser,,,,69,85,79,3.77,4.58,11.2,3,13.6,81
R,Kyle Gibson,66,37,,23,26,61,3.98,4.31,10.2,3,9.6,301
R,Kyle Hendricks,15,35,,5,1,,5.08,4.54,7,3.9,2.2,315
R,Kyle Wright,59,61,,64,72,17,3.72,4.55,11.2,2.8,13.7,167
R,Kyle Zimmer,,87,,78,,22,3.92,4.42,11.1,3.2,11,91
R,Lance Lynn,,92,15,63,84,,4.41,4.48,10.2,3.8,7.3,343
R,Lance McCullers Jr.,57.99999999999999,,,,51,,3.59,3.8,10,2,8.8,229
R,Liam Hendriks,,,,82,,82,3.59,3.05,14,3.7,2.2,91
R,Ljay Newsome,69,13,,20,,,4.32,3.7,10.9,4,1.5,68
R,Logan Webb,56.99999999999999,,,30,75,64,3.86,4.16,10.8,2.9,9.3,229
R,Lou Trivino,,,79,14.000000000000002,85,,3.89,4.36,10.4,2.8,10.8,94
