p_throws,stand,player_name,CH,CU,FC,FF,SI,SL,FIP_based_on_stuff,Predicted_FIP,exp_whiff_pct,exp_homerun_pct,uBB_perc,PA
L,R,Genesis Cabrera,28.000000000000004,72,,76,,,3.6,4.78,11.5,2.7,16.7,96
L,R,Gio Gonzalez,61,64,,28.999999999999996,,,3.78,4.45,11.1,2.9,12.4,156
L,R,Grant Dayton,,15,,34,,,4.48,4.71,10.8,4.3,8.5,116
L,R,Gregory Soto,,,,,3,100,4.6,5.41,10.5,4.4,13.3,98
L,R,Hyun Jin Ryu,68,23,23,35,60,,4.01,3.93,10.1,3,6.2,275
L,R,J.A. Happ,40,,,28.999999999999996,40,3,4.31,4.43,10.4,3.7,7.7,197
L,R,Jace Fry,,,80,,70,,3.83,4.46,11.8,3.3,12,81
L,R,Jake Diekman,,,,61,,67,3.29,4.04,13.1,2.7,13.1,86
L,R,Jake McGee,,,,68,,,4.46,4.11,10.2,3.9,3.8,79
L,R,Jalen Beeks,61,,,74,,,3.29,3.04,12.3,2.4,4.9,68
L,R,James Paxton,77,,,28.999999999999996,,,4.48,4.64,11.4,4.6,7.8,90
L,R,Jarlin Garcia,2,,,45,,,4.6,4.96,10.5,4.4,9.5,73
L,R,Jeffrey Springs,51,,,,7.000000000000001,,3.64,3.56,12.3,3.1,6.1,98
L,R,Jesus Luzardo,35,93,,40,24,,3.66,3.63,12.8,3.4,6.5,264
L,R,Joely Rodriguez,32,,,,40,,3.74,4.06,10.6,2.6,9.6,52
L,R,John King,,,,,26,,3.89,3.99,9.4,2.4,7.8,51
L,R,John Means,16,90,,68,,,4.17,3.87,12.7,4.4,4,176
L,R,Jon Lester,52,15,37,13,26,,4.4,4.36,9.3,3.5,6.4,265
L,R,Jordan Montgomery,28.000000000000004,5,11,35,40,,4.12,3.89,11.7,3.9,4.7,193
L,R,Josh Fleming,85,,,,60,1,3.46,3.25,9.7,1.6,5.4,131
L,R,Josh Hader,,,,97,,74,2.82,3.55,16.7,3.3,12.8,78
L,R,Josh Osich,,,38,74,,,3.89,3.76,10.8,3,5.8,87
L,R,Julio Urias,77,86,,85,,,3.15,3.28,13.2,2.5,8,220
L,R,Justin Wilson,,,80,85,,,3.43,3.71,11.5,2.3,9.3,83
L,R,Justus Sheffield,11,,,,40,43,3.72,3.92,10.2,2.4,8.6,234
L,R,Keegan Akin,31,34,,5,,,4.78,5.05,11.6,5.2,8.6,117
L,R,Kolby Allard,12,,43,53,,,4.13,4.9,10.2,3.3,13.2,153
L,R,Kris Bubic,16,50,,53,,,4.3,4.64,10.8,3.9,9.5,221
L,R,Kwang Hyun Kim,37,2,,51,,8,4.32,4.27,8.6,3,6.5,152
L,R,Kyle Freeland,37,56.00000000000001,,35,4,9,3.91,4.01,10.7,3,7.6,305
L,R,Kyle Hart,56.99999999999999,,,11,,3,4.4,5.38,9.7,3.6,14.9,67
L,R,Kyle Ryan,,,4,,,,5.62,5.97,9.3,6.1,9.1,66
L,R,Lewis Thorpe,,,,35,,15,4.32,5.07,10.3,3.7,13,77
L,R,Madison Bumgarner,,9,12,3,,,5.08,5.02,10.6,5.5,5.8,188
L,R,Marco Gonzales,20,14.000000000000002,9,,12,,4.94,4.44,8.1,4.1,2.5,277
L,R,Martin Perez,40,28.999999999999996,67,53,40,,3.7,4.15,10.2,2.4,10.7,263
L,R,Matt Strahm,,,,40,,,3.9,3.65,10.2,2.8,4.8,84
L,R,Matthew Boyd,78,50,,21,,28.000000000000004,4.06,4.23,11.5,3.7,8.1,271
L,R,Max Fried,61,72,,80,53,35,3.59,3.76,9.4,1.8,8.5,226
L,R,Mike Kickham,,74,,,,8,3.51,3.37,11.9,2.7,5.7,69
L,R,Mike Minor,2,,,67,,1,4.55,4.75,9.4,3.8,8.4,239
L,R,Nick Margevicius,61,12,,21,,11,4.42,4.47,9.8,3.7,7.1,168
L,R,Nik Turley,,79,,68,,,4.06,4.55,10.1,3.1,10.9,91
L,R,Oliver Perez,,,,,9,21,4.55,4.24,8.2,3.3,4.2,71
L,R,Patrick Corbin,66,,,11,40,15,4.45,4.35,10,3.9,5.8,294
L,R,Patrick Sandoval,48,,,74,,,3.94,4.03,12,3.6,7.5,159
L,R,Paul Fry,,,,67,,67,3.08,3.34,12.7,2.1,9.2,98
L,R,Rich Hill,,17,,0,,,5.38,5.92,8,5,10.9,150
L,R,Robbie Erlin,25,6,,12,,,4.96,4.77,9.8,4.9,4.9,121
L,R,Robbie Ray,,62,,56.99999999999999,,57.99999999999999,3.82,5.14,14.6,4.5,17.5,261
L,R,Ross Detwiler,,,,4,,7.000000000000001,4.49,4.28,9.7,3.8,4.9,80
L,R,Ryan Borucki,28.000000000000004,,,,9,,3.6,4.59,11.6,2.7,15.1,71
L,R,Ryan Yarbrough,56.99999999999999,,20,,14.000000000000002,,3.87,3.61,10.8,3,4.7,220
