pitch_type,p_throws,stand,player_name,actual_whiff,mph,rpm,axis,pfx_x,pfx_z,exp_whiff_rate,n
CU,R,R,Sonny Gray,0.11764705882352944,81.01176470588236,2905.764705882353,33.470588235294116,1.2394117647058824,-1.0552941176470587,0.29,17
CU,R,R,Lucas Sims,0.17391304347826075,82.45217391304348,3299.5652173913045,52.91304347826087,1.251304347826087,-0.14782608695652175,0.28,23
CU,R,R,Seth Lugo,0.17647058823529416,79.41764705882353,3291,30.470588235294116,0.981764705882353,-1.4852941176470589,0.28,17
CU,R,R,Dustin May,0.18181818181818188,86.64848484848484,3130.2727272727275,57.484848484848484,0.8851515151515151,-0.5293939393939394,0.27,33
CU,R,R,Walker Buehler,0.36363636363636376,82.5909090909091,3070.090909090909,110.54545454545455,1.0809090909090908,-0.8754545454545455,0.27,11
SL,L,L,John Means,0.13636363636363646,86.60909090909091,2441.4545454545455,190.3181818181818,-0.3609090909090909,0.5277272727272727,0.24,22
SL,L,L,Patrick Sandoval,0.35185185185185186,85.06296296296297,2576.4814814814813,282.74074074074076,-0.5405555555555556,0.2518518518518519,0.24,54
SL,L,L,Brooks Raley,0.33333333333333326,82.38333333333333,2842.25,277.2083333333333,-1.2683333333333333,0.55125,0.23,24
SL,L,L,Taylor Hearn,0.050000000000000044,82.795,2170.95,252.6,-0.545,0.3155,0.23,20
SL,L,L,Will Smith,0.52,81.868,2315.88,323.68,-0.6156,0.1368,0.23,25
SL,L,R,Danny Duffy,0.21621621621621623,82.67027027027027,2409.189189189189,288.1081081081081,-0.40864864864864864,-0.03405405405405405,0.25,37
SL,L,R,Victor Gonzalez,0.2727272727272727,84.44090909090909,2556.9545454545455,289.77272727272725,-0.2590909090909091,-0.06409090909090909,0.23,22
SL,L,R,Brett Anderson,0.2222222222222221,82.75925925925927,2487.4814814814813,326.14814814814815,-0.1925925925925926,-0.5403703703703704,0.22,27
SL,L,R,Yusei Kikuchi,0.15625,83.64375,2348.5625,306.65625,-0.10875,-0.0959375,0.22,32
SL,L,R,Blake Snell,0.2666666666666666,87.78,2460.266666666667,214.73333333333332,-0.32066666666666666,0.30333333333333334,0.21,30
SL,L,R,Jeffrey Springs,0.08333333333333326,83.28333333333333,2201.0833333333335,271.5833333333333,-0.3091666666666667,-0.09333333333333334,0.21,12
SL,L,R,John Means,0,85.87692307692308,2462.153846153846,193.46153846153845,-0.3392307692307692,0.5107692307692308,0.21,13
SL,L,R,Matt Strahm,0,86.39166666666667,2448.25,175.58333333333334,-0.12166666666666666,0.7241666666666666,0.21,12
SL,L,R,Nestor Cortes,0.11764705882352944,83.05882352941177,2169.470588235294,192.7058823529412,-0.45588235294117646,0.36117647058823527,0.21,17
SL,L,R,Tanner Scott,0.33333333333333326,88.32962962962964,2792.6296296296296,268.22222222222223,-0.47444444444444445,-0.09333333333333334,0.21,27
SL,L,R,Tarik Skubal,0.23076923076923084,86.42307692307692,2339.0384615384614,210.34615384615384,-0.19,0.16076923076923078,0.21,26
SL,L,R,Wandy Peralta,0.24,87.512,2292.84,152.96,-0.096,0.39440000000000003,0.21,25
